cep,latitude,longitude
73770000,-14.1418273,-47.5339699
65180000,-2.6813548,-43.5482653
88600000,-28.2826303,-49.9373384
01329000,-23.5608408,-46.6473103
38408194,-18.9152836,-48.2563355
99600000,-27.3945768,-52.826589
11990000,-25.0136588,-47.9291475
37478000,-21.9851301,-44.9830364
14140000,-21.3376237,-47.7339808
11025230,-23.9754441,-46.2947789
14790000,-20.3255044,-48.3140496
46830000,-12.8476905,-41.321746
43850000,-12.5161536,-38.4972149
65606070,-4.864737,-43.360853
14200000,-21.479724,-47.5317036
72405000,-16.0117046,-48.0606923
20943000,-22.9063286,-43.2366986
59310000,-6.719187,-37.2018081
89245000,-26.4267225,-48.74698
95785000,-29.5548572,-51.4171995
58900000,-6.8871021,-38.5537127
44710000,-11.4219559,-40.2972764
35485000,-20.265079,-44.3090284
16025010,-21.209362,-50.4507268
23970000,-23.2144775,-44.7122266
44600000,-12.1640731,-39.737512
49580000,-10.7587133,-37.3147035
48430000,-10.6730007,-37.8617586
20271260,-22.9131236,-43.2259891
88015100,-27.5927962,-48.5513754
11065201,-23.967948,-46.3504743
13530000,-22.2246456,-47.8147664
13560648,-22.0177205,-47.8852579
63260000,-7.507982,-38.9477807
95650000,-29.5779367,-50.8003746
26950000,-22.3831232,-43.3160798
96230000,-33.4779931,-53.3120315
59318000,-6.6650124,-37.3987118
80510240,-25.4252507,-49.2752786
26261220,-22.74665,-43.4849224
35845000,-19.1863756,-43.725361
62680000,-3.4407986,-39.0367921
29590000,-20.5867501,-41.7555962
87065160,-23.4516023,-52.0071177
26600000,-22.6171387,-43.7073275
71219900,-15.8335161,-47.955266
28460000,-21.4009709,-42.1828511
88650000,-28.0050355,-49.5825592
02530000,-23.5013177,-46.6571385
28800000,-22.7156,-42.6596685
28820000,-22.6487346,-42.3947489
94035330,-29.9405834,-50.9992692
57051160,-9.6556235,-35.7381702
28890000,-22.487125,-41.9180253
68904385,0.009439,-51.0934375
89900000,-26.7344282,-53.5190038
59535000,-5.6985854,-36.2394362
28930000,-22.9686414,-42.0384234
54000000,-8.1500231,-34.9432482
65800000,-7.6278211,-46.0946986
29230000,-20.7865217,-40.6672904
06386000,-23.5305014,-46.8421929
62770000,-4.2295169,-38.8864562
77590000,-10.7108539,-47.5605212
49270000,-11.4775777,-37.7531221
65735000,-4.6868918,-44.3232856
95690000,-29.6482916,-50.5727715
59178000,-6.2225019,-35.0598311
59508000,-5.6030119,-36.8422944
59275000,-6.3179782,-35.7120319
89887000,-27.0966372,-53.2009596
20221160,-22.8976656,-43.1832472
64750000,-8.1364425,-41.1435502
29194518,-19.8102257,-40.2730154
44350000,-12.6026613,-39.0425576
29100000,-20.3193441,-40.3841053
79311080,-19.021748,-57.6345218
50751455,-8.0650652,-34.9202043
45658260,-14.7665581,-39.0632073
08554120,-23.5151884,-46.3616867
54330220,-8.1702996,-34.927163
66085731,-1.4358236,-48.4699067
29730000,-19.5735643,-41.0061068
63010000,-7.217086,-39.3004606
48660000,-9.0714979,-39.116607
49680000,-10.2127492,-37.4202198
48700000,-11.6493681,-39.0043129
89160482,-27.2072515,-49.6206869
35020500,-18.8601623,-41.9385921
29345000,-21.0681682,-40.8535285
79420000,-19.4435504,-53.993463
96508000,-30.0526205,-52.8900393
89165487,-27.2217266,-49.6482891
69640000,-4.2334175,-69.9311005
29550000,-20.7949611,-41.3907038
59690000,-6.0168522,-37.4070405
68721000,-0.6310555,-47.3430659
72220380,-15.8396315,-48.1102463
75450000,-16.2044782,-49.5987232
89233700,-26.3790202,-48.8313209
35550000,-20.4716049,-45.1213361
45983000,-17.1106614,-39.182828
38408154,-18.9156048,-48.2343154
25615060,-22.5048779,-43.155963
36544000,-20.8731838,-42.9783226
36660000,-17.282262,-42.7379965
48680000,-8.7002878,-39.170165
48850000,-10.6939673,-39.8529339
40301408,-12.9681771,-38.5069057
68633000,-4.2848458,-47.5428486
62674000,-3.5528447,-38.8508485
26383170,-22.7099536,-43.560039
64222000,-2.9183297,-41.3922774
80510000,-25.4240593,-49.2715393
57230000,-10.1016266,-36.1436824
88060158,-27.4680313,-48.4126366
62460000,-3.3138076,-40.5581933
42850000,-12.6154926,-38.2960509
60540096,-3.7901528,-38.626878
99250000,-28.7184948,-51.9263106
58345000,-7.0594352,-35.3119375
76360000,-14.9564516,-49.5538991
59790000,-5.4582222,-37.5202826
13083891,-22.8255178,-47.0628405
01244011,-23.553804,-46.6633543
93228280,-29.8479017,-51.1393178
23092031,-22.8778477,-43.5237421
29125010,-20.4226123,-40.3260979
44200000,-12.5500915,-38.7078432
13848263,-22.3329187,-46.9247417
55192000,-7.9597109,-36.2010509
88160286,-27.504965,-48.6459501
72870000,-16.0522474,-47.983399
29140822,-20.3729312,-40.3736921
65130000,-2.5363563,-44.1546193
39874000,-16.940923,-40.6805447
44220000,-12.8321296,-38.809021
68830000,-1.207441,-48.8486298
05663020,-23.6134785,-46.7281725
77600000,-10.1773646,-48.8858139
50020170,-8.070414,-34.8842944
44300000,-12.5672256,-38.9718091
58475000,-7.367263,-35.9043638
03662020,-23.5226277,-46.4972841
88806000,-28.7029891,-49.4085469
66615160,-1.4052727,-48.4427029
12228037,-23.2510376,-45.8007439
44340000,-12.6226642,-38.9863742
97340000,-30.1695153,-53.569273
28895266,-22.5138013,-41.9292771
89251600,-26.4865932,-49.0807565
25845000,-22.2348896,-43.1020307
06657500,-23.558064,-46.9276118
86010190,-23.3155322,-51.1551334
71258255,-15.7796951,-47.9933793
44360000,-12.6076271,-38.9676539
40010020,-12.9698705,-38.5121864
66025280,-1.4645992,-48.4955426
28055180,-21.7440323,-41.359816
44420000,-12.7265872,-38.9332879
52061350,-8.0394767,-34.9214372
13970170,-22.4385599,-46.8213558
44460000,-12.8878289,-38.6785074
45653330,-14.797837,-39.0326566
15910000,-21.2603744,-48.4910691
77328000,-12.7885587,-46.5066035
99400000,-28.822009,-52.8467757
02469003,-23.4846486,-46.6424057
65936000,-5.8263703,-47.0649885
78195000,-15.4636851,-55.7522483
34400000,-19.9694799,-43.8042749
59775000,-6.0774925,-37.512751
46900000,-12.4293163,-41.7755936
88010400,-27.5952629,-48.5491702
74956260,-16.7962569,-49.2974226
76920000,-10.722267,-62.2608153
01325001,-23.5601894,-46.6440731
68760000,-0.7115966,-47.7000017
62810000,-4.6956355,-37.3870276
74030060,-16.6738337,-49.2521186
44915000,-11.2292122,-41.8789259
45190000,-14.6699291,-40.4769935
12940700,-23.1170729,-46.5522449
45400000,-13.359055,-39.0684998
18078630,-23.4426605,-47.4688137
23860000,-22.9611153,-44.0216415
29500000,-20.7565185,-41.5197979
30550000,-19.9472879,-43.984746
78800000,-15.828688,-54.395411
83404010,-25.3706874,-49.2003337
37466000,-22.283382,-44.8700327
02259000,-23.4706108,-46.5816713
14680000,-21.0213585,-47.7671366
37260000,-21.0993307,-45.0839513
52121220,-8.020123,-34.8808333
28899419,-22.490806,-41.9158914
29670000,-19.8304834,-40.395159
58322000,-7.2788927,-34.8763868
45416000,-13.4543449,-39.4221218
62960000,-5.2521587,-38.1389206
05836350,-23.6464754,-46.7368983
87023200,-23.3830002,-51.9393016
23580250,-22.9098115,-43.623401
37480000,-21.9800409,-45.3474182
55330000,-9.1645301,-36.6869701
05017040,-23.5392476,-46.6817097
96020220,-31.7571514,-52.3402719
53020020,-8.017809,-34.8518451
96030001,-31.7598593,-52.369008
20230150,-22.9130431,-43.1830412
95400000,-29.4344147,-50.5846828
95718000,-29.1615373,-51.6445009
95900000,-29.4548134,-51.9698579
13460000,-22.7649343,-47.2449109
99675000,-27.6165719,-52.843654
45435000,-13.734139,-39.1426973
45440000,-13.6101808,-39.1029486
62190000,-3.9173844,-40.3866623
45530000,-14.2858509,-38.997911
14150000,-21.2079285,-47.6027848
45689000,-14.499208,-39.0360254
45700000,-15.2474731,-40.2468002
25640322,-22.5259297,-43.1870597
85870732,-25.467014,-54.5579748
97573180,-30.7316062,-55.3905406
48925000,-9.4722068,-40.8050416
64688000,-7.1424756,-40.9396574
14020020,-21.1834731,-47.8020335
45800000,-15.9244811,-39.0671273
88020300,-27.5951915,-48.5435063
48445000,-10.6405677,-38.3112967
45860000,-15.6743324,-38.9544036
39600000,-16.8673994,-42.0349616
37340000,-22.275992,-44.5054312
78050258,-15.5867811,-56.076035
20231092,-22.912643,-43.1849772
09980550,-23.7074805,-46.617258
46400000,-14.0671917,-42.4887965
65054706,-2.536739,-44.1947003
46430000,-14.228006,-42.772374
31170220,-19.8862558,-43.9245907
89820000,-26.8741182,-52.4102612
78005200,-15.5921381,-56.0988589
57022290,-9.6705541,-35.7226609
46470000,-13.6134329,-42.9364028
62053770,-3.6838678,-40.315575
13181492,-22.8422426,-47.196458
45680000,-14.5329839,-39.1639161
69059423,-2.9869207,-60.0068629
36036230,-21.7723126,-43.3829225
29126701,-20.4429295,-40.3580729
88010440,-27.5991766,-48.5483399
46880000,-12.5282938,-40.3035649
63100020,-7.2324096,-39.412998
65320000,-4.264276,-45.2726824
59900000,-6.115555,-38.2046863
48603004,-9.4095326,-38.2230822
01032030,-23.542167,-46.6357442
45420000,-13.4806462,-39.0133486
88380000,-26.7586964,-48.6788895
54100415,-8.1237309,-35.0293499
91790010,-30.1467062,-51.149476
76600000,-15.9432848,-50.1300102
29338000,-20.8934531,-40.7785694
47200000,-9.6252782,-42.0856514
79290000,-21.1181157,-56.4867889
31170620,-19.8832184,-43.9237582
47220000,-9.3750429,-43.2978247
96081150,-31.7465446,-52.3074924
56870000,-7.8384718,-38.0892506
47520000,-12.180764,-43.2189686
58135000,-7.0233998,-35.8628412
65278000,-1.6956579,-45.4377673
49075510,-10.9118546,-37.072486
48110000,-12.366282,-38.3856477
99820000,-27.570257,-52.0208899
91770001,-30.1416839,-51.2177857
76450000,-13.5481089,-48.2221085
69390000,2.4048328,-60.5955266
54410010,-8.1703393,-34.9156008
85867900,-25.4327389,-54.5948223
25655374,-22.5187518,-43.1929395
13840056,-22.3638023,-46.9449733
94035360,-29.9444216,-50.9873583
98600000,-27.4543473,-53.9281487
98855000,-28.3597421,-54.2703161
48120000,-12.4302664,-38.3283799
20551080,-22.9169693,-43.2435537
11920000,-24.7130509,-47.563931
52061160,-8.0326317,-34.9256638
39864000,-17.7269822,-40.6974655
57042140,-9.633863,-35.7204249
69800000,-7.5137459,-63.0270721
24210050,-22.8975039,-43.1206646
99700000,-27.6394985,-52.2729594
48300000,-11.8547673,-37.5667809
35500005,-20.1468638,-44.8903354
57020710,-9.669201,-35.7323185
95515000,-29.7591914,-50.4044839
04289135,-23.6053907,-46.6149001
88330645,-26.9880605,-48.6382143
36180000,-21.2822756,-43.1811909
98400000,-27.3590857,-53.4018887
60821420,-3.7850877,-38.4956314
28610180,-22.2789417,-42.5319148
40301110,-12.6610786,-38.6627301
88010030,-27.5971845,-48.5527053
20060050,-22.9077612,-43.1823605
48460000,-11.2392298,-38.4836284
96700000,-29.9605245,-51.7206659
11618213,-23.7826412,-45.6251885
52211020,-8.0179447,-34.9043941
88161586,-27.5151312,-48.6455721
29970000,-18.2502222,-39.9782755
45690000,-15.2937087,-39.0744243
05432020,-23.5597988,-46.6872086
95020360,-29.1639411,-51.1762363
35500017,-20.1415181,-44.8853883
48500000,-10.4936792,-38.9821775
03001000,-23.5434826,-46.6180547
55170000,-8.145465,-36.3708307
77405090,-11.7293234,-49.0642152
56334899,-9.2820171,-40.5379059
68909075,0.0968428,-51.0565542
48619899,-9.4573916,-38.1337476
95520000,-29.9098211,-50.2661615
50920680,-8.0845344,-34.959421
57800000,-9.1320584,-36.0363338
01223010,-23.5445555,-46.6487921
54522585,-8.2980758,-34.9547598
48630000,-8.8490268,-38.7681168
24350310,-22.93641,-43.0541636
90020008,-30.0299731,-51.2291148
35160004,-19.478059,-42.525144
62795000,-4.2845929,-38.634926
59291625,-5.7905412,-35.3337737
59585000,-5.1262162,-35.6343178
61890000,-4.040276,-38.6360139
68900015,0.0319328,-51.0584595
45450000,-13.7440177,-39.4851365
54590000,-8.3093325,-34.9854232
79002335,-20.4628618,-54.617159
88390000,-26.6591385,-48.6938674
59164000,-6.0694526,-35.1506216
90610200,-30.0498069,-51.1978299
48800000,-10.4343951,-39.3549984
20230014,-22.9140524,-43.1850096
39950000,-16.3753461,-40.5408533
47800046,-12.148544,-45.0013092
12620000,-22.5586026,-45.155311
58995000,-7.7242092,-38.1566256
23027260,-23.0015163,-43.6361567
87013060,-23.4181262,-51.9340423
14020188,-21.1929306,-47.8027804
58915000,-6.5203603,-38.4096875
20230060,-22.9123435,-43.1804062
72800000,-16.2450117,-47.9595081
52140030,-8.0010638,-34.9006804
48930000,-9.0505891,-39.8289182
48970000,-10.4648508,-40.1849608
52090320,-8.0109516,-34.9307905
49490000,-10.7296481,-38.1444375
86400000,-23.1390868,-49.9609637
22260150,-22.9494569,-43.193073
89610000,-27.1703045,-51.4946636
64003600,-5.068631,-42.8166289
28230000,-21.4672874,-41.0811049
95780000,-29.6875678,-51.4621106
22270010,-22.9541166,-43.1921182
53900000,-7.7707619,-34.8307037
39300000,-15.9497391,-44.8485019
98180000,-28.6475801,-54.1201255
89990000,-26.3574327,-52.852111
55500000,-8.5041262,-35.4003746
59380000,-6.2576379,-36.5210604
68920000,-0.777495,-52.428826
55620000,-8.0029625,-35.2958421
55655000,-8.0083415,-35.7009081
80010010,-25.428173,-49.267825
76390000,-14.9781947,-48.9258845
55800000,-7.7462459,-35.2308781
45300000,-13.0279862,-39.6030568
22221030,-22.9281531,-43.1838897
55825000,-7.9025161,-35.1505127
29560000,-20.7798548,-41.6834209
92320160,-29.9315562,-51.1960995
75650000,-17.7346001,-49.1199905
55890000,-7.6650455,-35.1727953
45807000,-16.2670747,-39.0323785
13960000,-22.5931036,-46.5257249
02016020,-23.5010969,-46.6303163
55900000,-7.5870996,-34.9746964
97020270,-29.6832643,-53.8327203
53431040,-7.9061479,-34.8404026
56000000,-8.069673,-39.1218935
23895260,-22.7514327,-43.7156516
43700000,-12.7992662,-38.4174139
83702602,-25.5841134,-49.400682
11730000,-24.0944443,-46.6220198
45345000,-13.5234158,-39.9838963
65269000,-1.7984141,-45.0075162
89216202,-26.2918834,-48.8791933
56470000,-9.1848677,-38.2688135
65609899,-4.8951222,-43.2732322
13218005,-23.182093,-46.8763603
57445000,-9.5571782,-37.3779069
73015404,-15.6548185,-47.7933297
68908160,0.0455058,-51.0609962
39100000,-18.0884031,-43.6000291
79950000,-23.0621651,-54.1992066
57025790,-9.661887,-35.7220574
20221901,-22.9043389,-43.1922013
58340000,-7.0951458,-35.2285314
74150030,-16.6955626,-49.2699896
44470000,-13.017309,-38.6649466
66095050,-1.4407825,-48.4504149
62840000,-4.1757581,-38.1333023
59355000,-6.950408,-36.7120758
58680000,-7.2058878,-36.8243272
29172841,-20.1813312,-40.2101057
13060090,-22.9191988,-47.1070112
85887000,-25.252121,-53.9880063
08410020,-23.5491445,-46.4159669
58360000,-7.3037933,-35.3436012
60030010,-3.7224316,-38.531668
65138000,-2.440604,-44.1277056
78470000,-14.5259576,-55.9759336
64048512,-5.060656,-42.7901416
59090190,-5.8836461,-35.1717604
23530800,-22.9682074,-43.6945409
32667374,-19.9592123,-44.1387635
60346195,-3.723872,-38.5883591
68109000,-2.5030178,-54.9534581
60035131,-3.7291393,-38.5412443
59470000,-5.8178767,-35.8246875
90160091,-30.0465195,-51.2135809
52050310,-8.0423096,-34.8999245
62755000,-4.490802,-38.5975627
59300000,-6.4674721,-37.0976067
58280000,-6.837428,-35.1272757
89202310,-26.3158564,-48.840905
66635305,-1.3560931,-48.4555301
59575000,-5.6870687,-35.2769582
60873805,-3.8646511,-38.4908781
06950000,-23.9759004,-47.092725
68904630,0.0135231,-51.0821217
56903510,-7.9902911,-38.3011154
59865000,-5.9908591,-37.8140132
89896000,-27.1486113,-53.7381298
49480000,-10.7373248,-37.8163114
41760000,-12.99212,-38.4474165
44245000,-12.3439442,-38.775275
62550000,-3.2463772,-40.1049943
69190000,-6.5520107,-58.0620398
83252000,-25.5408292,-48.5074532
60410436,-3.7538344,-38.541826
45836000,-17.0566822,-39.5425734
62320000,-3.7314494,-40.9963501
63310000,-6.6454453,-38.700197
90840000,-30.0839531,-51.230165
59655000,-4.9549185,-37.1296429
88353172,-27.0969275,-48.9059428
90040390,-30.0453599,-51.2124613
46800000,-12.2867001,-40.4944614
62640000,-3.7768492,-39.2330233
89035300,-26.9048006,-49.087456
62700000,-4.370329,-39.3108457
62766000,-4.2595043,-38.9324333
05443002,-23.5595385,-46.6991378
62850000,-4.1110561,-38.2350912
22610095,-22.9988962,-43.2656053
68447000,-1.4397941,-48.5166155
22221020,-22.9308598,-43.1791763
49810000,-9.8086174,-37.6810277
62870000,-4.1707697,-38.4632075
44380000,-12.6661131,-39.1017024
88015420,-27.5899239,-48.5439703
77900000,-6.3243421,-47.4284756
38950000,-19.4922865,-46.5477147
13084060,-22.8312021,-47.0820403
51170040,-8.0853276,-34.9090691
45810000,-16.4155017,-39.1415835
29830000,-18.6596326,-40.4592652
13454170,-22.7365342,-47.3774777
62980000,-5.8122091,-38.3034417
79240000,-21.4822507,-56.1480963
48730000,-11.5727269,-39.2786652
18170000,-23.7268115,-47.4195897
48650000,-9.1669079,-39.0258434
35032180,-18.8567484,-41.948469
03590060,-23.5472996,-46.4818739
97015372,-29.6912589,-53.8075658
88139351,-27.889752,-48.5901799
11060000,-23.9534019,-46.3315381
57370000,-9.9130735,-37.1206704
79990000,-23.1076656,-55.2191647
21660020,-22.8398046,-43.378469
90050370,-30.0422404,-51.2224181
44330000,-12.4338598,-38.9507384
66023150,-1.46506,-48.5010666
68908120,0.0484378,-51.0612419
63150000,-7.075727,-40.3738684
31320020,-19.8794643,-43.9830734
27700000,-22.4086329,-43.6691698
29645000,-20.0891536,-40.7751855
68503240,-5.3700383,-49.1148273
46960000,-12.5623576,-41.3899077
88370438,-26.9011832,-48.6514671
39330000,-16.2082226,-44.4310029
88385000,-26.805244,-48.6239974
88817140,-28.6678902,-49.3997971
68480000,-1.9347317,-50.8254336
90020001,-30.032543,-51.2364013
55850000,-7.6545033,-35.3207725
63180000,-7.3039964,-39.3153549
63200000,-7.3408566,-39.1879987
50030200,-8.0618793,-34.8716548
95595000,-30.1877633,-50.2084504
63860000,-4.8470495,-39.5702219
46170000,-13.5844837,-41.8139937
58175000,-6.4964194,-36.1536002
65145000,-3.1478414,-44.3264737
22450260,-22.9923773,-43.2357347
29680000,-19.7405615,-40.3937514
65922000,-5.3619376,-47.2955182
69005200,-3.1362837,-60.018429
89600000,-27.173233,-51.5113912
65195000,-2.5817829,-43.2184416
65200000,-2.5232292,-45.1254644
65295000,-1.3274356,-46.0402297
65500000,-3.8189652,-43.4360122
80420120,-25.4372185,-49.2753284
65590000,-2.8353633,-42.8948543
64575000,-7.3570414,-41.139846
66113022,-1.4325329,-48.4823737
63275000,-7.6888508,-39.0067493
65700000,-4.190934,-44.7791798
58125000,-7.0337207,-35.7867401
80410100,-25.4277061,-49.2757369
45570000,-14.0935697,-39.7208493
55660000,-8.2327488,-35.7508718
58220000,-6.742305,-35.6394423
81940290,-25.5690013,-49.2861112
65930000,-4.9125586,-47.4513358
68909899,0.0517421,-51.1251533
59200000,-6.2282392,-36.0220712
45780000,-15.6640014,-40.0716306
76420000,-14.4686584,-48.4593633
93490000,-29.7635664,-50.9769044
66823083,-1.3347248,-48.4386382
29185000,-19.9352104,-40.4043124
68143000,-2.6373239,-54.9348005
86088070,-23.2611215,-51.1452838
39816000,-17.4095334,-41.5133548
96178000,-30.9257703,-51.5018535
49100000,-10.9610749,-37.1767934
68220000,-2.0051644,-54.0718494
68870000,-0.7277509,-48.5164572
62720000,-4.6197298,-39.6415287
50970000,-8.0357116,-34.9789736
52120210,-8.0242417,-34.891174
45880000,-15.4218871,-39.4970428
68440000,-1.7340465,-48.8697847
35860000,-19.0323008,-43.4254754
48485000,-11.6886077,-38.5546405
90040310,-30.0424393,-51.2154286
95555000,-29.7484901,-50.0106752
75980000,-16.9521886,-50.4414328
59600315,-5.1971182,-37.3478525
65970000,-6.3518765,-47.3286263
46940971,-12.5335577,-41.5724972
68901510,0.0178383,-51.0575657
60540214,-3.7880726,-38.6264543
89010003,-26.917906,-49.0674733
68515000,-6.1378912,-49.7554611
45840000,-16.588157,-39.8142744
68600000,-1.0691986,-46.7695469
68890000,-0.1586157,-50.3909489
58200000,-6.8543452,-35.4862931
64700000,-7.859928,-41.9104235
46360000,-14.3716844,-42.7107358
76330000,-15.7862666,-49.3791881
86020420,-23.3167354,-51.1648744
66030700,-1.4650261,-48.4887386
29197556,-19.8251136,-40.060494
64770000,-9.0165819,-42.6931446
64730000,-7.6593411,-41.8809325
68690000,-1.9593985,-48.2053445
47600000,-13.2587593,-43.4330107
57330000,-9.8313466,-36.7362047
46750000,-13.0011799,-41.3893093
64550000,-7.2431542,-42.5137182
96450000,-30.9744824,-54.6770607
56400000,-8.5999409,-38.5725329
68780000,-0.860894,-48.1397321
39470000,-15.0970661,-44.0946424
28640000,-21.9276844,-42.6083292
95711000,-29.196004,-51.59886
88215000,-27.1501431,-48.5050388
60160041,-3.7287146,-38.5070683
41740260,-12.967357,-38.419175
12228260,-23.258585,-45.8323469
68925000,-0.0635494,-51.166655
93990000,-29.522615,-51.0636552
59360000,-6.6896365,-36.6585247
68940000,-0.2242013,-51.5308693
18010260,-23.4991141,-47.4526229
07700005,-23.3592949,-46.7409146
20397180,-22.7525571,-43.1071851
27197000,-22.5187446,-44.0015831
13419210,-22.7311782,-47.644059
69980000,-7.6297137,-72.6753161
59570000,-5.6397198,-35.4204308
44790000,-10.5079468,-40.328887
66065310,-1.4690136,-48.470413
45051000,-14.8504248,-40.8549305
75340000,-16.9655254,-49.227991
22010020,-22.9611331,-43.1653211
52070381,-8.0244763,-34.9208713
64500000,-7.0148367,-42.1256943
62730000,-4.1384734,-39.0913677
52041080,-8.0500656,-34.8736641
99670000,-27.7822788,-52.8026081
76400000,-14.5265855,-49.1461512
51020190,-8.1131605,-34.8942395
20730460,-22.9013108,-43.3011782
24942395,-22.9246667,-42.8440685
68943000,-0.113244,-51.5517912
58400052,-7.2168904,-35.893987
55805000,-7.8029201,-35.2369504
57025050,-9.6630552,-35.7216302
28470000,-21.578335,-42.233705
04347110,-23.6453539,-46.6469687
57014340,-9.6611145,-35.752706
64190000,-4.0252734,-42.075882
45280000,-14.750684,-40.0727866
55200000,-8.3568592,-36.6993598
95010100,-29.1743002,-51.169426
66025190,-1.4683007,-48.4988792
66017050,-1.4525469,-48.4981252
45360000,-13.4413592,-40.432856
76850000,-10.9727511,-65.2432794
60533697,-3.7703564,-38.6004085
90810070,-30.0816503,-51.2367843
35720000,-19.5650153,-44.0687153
76940000,-11.724222,-61.7591199
72876015,-16.0696945,-47.9821831
11900000,-24.4893942,-47.8458373
73850000,-16.7676914,-47.6123835
77500000,-10.667599,-48.4130133
84020240,-25.0841923,-50.1451171
78050000,-15.5794,-56.0762274
90160090,-30.0484326,-51.2254754
72930000,-16.0816856,-48.5026599
77650000,-9.568619,-48.4047155
64130000,-4.164345,-42.8791623
78580000,-9.8803916,-56.095904
65393000,-4.3404623,-46.4299026
58487000,-7.3595292,-35.7828547
64800250,-6.7729787,-43.0284501
54786380,-7.9540801,-35.005144
60181170,-3.7283366,-38.4737114
79210000,-20.4861995,-55.8268264
91790060,-30.1542701,-51.1475487
83260000,-25.8218941,-48.5402989
50100280,-8.0488808,-34.8795899
20231046,-22.9126205,-43.1845183
60875010,-3.8636258,-38.4895158
24370001,-22.9328495,-43.0974936
88230000,-27.3017376,-48.7887315
14010080,-21.1786419,-47.8091115
88332135,-27.0098766,-48.6144264
88495000,-28.0315826,-48.6448467
56640000,-8.0859922,-37.6380265
57052499,-9.6246482,-35.7296609
52210240,-8.0214452,-34.9096945
65400000,-4.5134475,-43.8700901
88780000,-28.1944198,-48.6846643
69340000,2.5420878,-61.1625199
39480000,-15.4851295,-44.3909072
89265230,-26.4637765,-49.1895424
30640000,-19.9777526,-44.0219313
88790000,-28.4819812,-48.7717836
72975000,-15.7925149,-48.7879032
40100080,-12.9941906,-38.5160114
80310130,-25.4627884,-49.3070953
62630000,-3.9443939,-39.4292706
50741110,-8.0498241,-34.9593075
64915000,-9.3363581,-44.5045053
65010200,-2.5327851,-44.3056115
20261190,-22.9204961,-43.2096367
79217000,-20.4477035,-55.4289021
55630000,-8.1570878,-35.4345694
45260000,-14.5285203,-40.3705063
89520000,-27.2859423,-50.5519618
02221000,-23.485414,-46.5785344
20261243,-22.9314575,-43.2097212
63240000,-7.316099,-39.0500587
29105440,-20.3637115,-40.3108876
17015031,-22.3267867,-49.0745654
12243750,-23.1980984,-45.8951595
46140000,-13.651807,-41.8436957
68750000,-0.738408,-47.8539926
22071060,-22.9806341,-43.1926574
90050230,-30.0411175,-51.2252235
06501120,-23.4476388,-46.917887
65765000,-5.0295196,-44.4209574
68908300,0.0595686,-51.0545264
94814400,-30.0033948,-51.074004
78068401,-15.6110642,-56.0591352
95560000,-29.3301274,-49.7470951
12010080,-23.024588,-45.5592299
76824038,-8.7375902,-63.8613136
03665010,-23.526506,-46.497032
77375000,-11.3960283,-48.0957075
90230011,-29.9988361,-51.2057107
90230070,-30.0076469,-51.1966995
68908194,0.0446788,-51.0591946
66812440,-1.3065123,-48.4808982
22760401,-22.9391712,-43.3448919
96300000,-32.5185333,-53.4046138
97010140,-29.679864,-53.810532
62790000,-4.2231904,-38.7273728
49260000,-11.379938,-37.6636805
04405140,-23.6747828,-46.6580935
83326210,-25.3994851,-49.1860291
62650000,-3.6223846,-39.5120409
69313055,2.8061518,-60.7190764
79075210,-20.5516073,-54.6487972
27580000,-22.4582216,-44.5484155
90150090,-30.0512505,-51.223285
77593000,-10.4467719,-46.5275771
97670000,-28.6593069,-56.0031382
63480000,-5.6033422,-38.7590962
13201004,-23.1788963,-46.887321
90220170,-30.0198192,-51.209204
07500000,-23.312664,-46.2405416
53425760,-7.9016881,-34.8381748
